sim_t,pos,vel,state,cmd_exact,cmd_lo,cmd_hi
402.110000,0.030000,0.000000,unrailed,0.030000,,
402.111000,0.030000,-0.000000,unrailed,0.030000,,
402.112000,0.030000,0.000000,unrailed,0.030000,,
402.113000,0.030000,-0.000000,unrailed,0.030000,,
402.114000,0.030000,0.000000,unrailed,0.030000,,
402.115000,0.030000,-0.000000,unrailed,0.030000,,
402.116000,0.030000,0.000000,unrailed,0.030000,,
402.117000,0.030000,-0.000000,unrailed,0.030000,,
402.118000,0.030000,0.000000,unrailed,0.030000,,
402.119000,0.030000,-0.000000,unrailed,0.030000,,
402.120000,0.030000,0.000000,unrailed,0.030000,,
402.121000,0.030000,-0.000000,unrailed,0.030000,,
402.122000,0.030000,0.000000,unrailed,0.030000,,
402.123000,0.030000,-0.000000,unrailed,0.030000,,
402.124000,0.030000,0.000000,unrailed,0.030000,,
402.125000,0.030000,-0.000000,unrailed,0.030000,,
402.126000,0.030000,0.000000,unrailed,0.030000,,
402.127000,0.030000,-0.000000,unrailed,0.030000,,
402.128000,0.030000,0.000000,unrailed,0.030000,,
402.129000,0.030000,-0.000000,unrailed,0.030000,,
402.130000,0.030000,0.000000,unrailed,0.030000,,
402.131000,0.030000,-0.000000,unrailed,0.030000,,
402.132000,0.030000,0.000000,unrailed,0.030000,,
402.133000,0.030000,-0.000000,unrailed,0.030000,,
402.134000,0.030000,0.000000,unrailed,0.030000,,
402.135000,0.030000,-0.000000,unrailed,0.030000,,
402.136000,0.030000,0.000000,unrailed,0.030000,,
402.137000,0.030000,-0.000000,unrailed,0.030000,,
402.138000,0.030000,0.000000,unrailed,0.030000,,
402.139000,0.030000,-0.000000,unrailed,0.030000,,
402.140000,0.030000,0.000000,unrailed,0.030000,,
402.141000,0.030000,-0.000000,unrailed,0.030000,,
402.142000,0.030000,0.000000,unrailed,0.030000,,
402.143000,0.030000,-0.000000,unrailed,0.030000,,
402.144000,0.030000,0.000000,unrailed,0.030000,,
402.145000,0.030000,-0.000000,unrailed,0.030000,,
402.146000,0.030000,0.000000,unrailed,0.030000,,
402.147000,0.030000,-0.000000,unrailed,0.030000,,
402.148000,0.030000,0.000000,unrailed,0.030000,,
